20190102 072700;1.1267;1.1267;1.1266;1.1266;159
20190102 072800;1.1266;1.1266;1.1265;1.1265;137
20190102 072900;1.1265;1.1267;1.1265;1.1267;101
20190102 073000;1.1266;1.1268;1.1266;1.1268;67
20190102 073100;1.1267;1.1267;1.1265;1.1265;158
20190102 073200;1.1265;1.1265;1.1264;1.1265;98
20190102 073300;1.1265;1.1265;1.1265;1.1265;104
20190102 073400;1.1265;1.1265;1.1263;1.1264;129
20190102 073500;1.1264;1.1266;1.1263;1.1266;185
20190102 073600;1.1266;1.1266;1.1265;1.1265;156
20190102 073700;1.1265;1.1265;1.1264;1.1265;139
20190102 073800;1.1265;1.1267;1.1265;1.1267;127
20190102 073900;1.1267;1.1267;1.1266;1.1266;109
20190102 074000;1.1266;1.1266;1.1265;1.1266;176
20190102 074100;1.1266;1.1269;1.1266;1.1269;108
20190102 074200;1.1269;1.1269;1.1269;1.1269;85
20190102 074300;1.1269;1.1269;1.1268;1.1268;112
20190102 074400;1.1268;1.1268;1.1267;1.1267;157
20190102 074500;1.1267;1.1267;1.1264;1.1264;153
20190102 074600;1.1264;1.1265;1.1264;1.1265;105
20190102 074700;1.1265;1.1265;1.1264;1.1265;44
20190102 074800;1.1264;1.1266;1.1264;1.1264;197
20190102 074900;1.1264;1.1265;1.1264;1.1264;200
20190102 075000;1.1264;1.1265;1.1263;1.1264;242
20190102 075100;1.1264;1.1267;1.1264;1.1267;157
20190102 075200;1.1267;1.1267;1.1266;1.1266;146
20190102 075300;1.1266;1.1266;1.1265;1.1265;285
20190102 075400;1.1265;1.1265;1.1264;1.1264;188
20190102 075500;1.1264;1.1264;1.1264;1.1264;200
20190102 075600;1.1264;1.1265;1.1264;1.1264;250
20190102 075700;1.1264;1.1264;1.1264;1.1264;169
20190102 075800;1.1264;1.1265;1.1264;1.1265;166
20190102 075900;1.1265;1.1265;1.1264;1.1264;116
20190102 080000;1.1265;1.1265;1.1263;1.1263;182
20190102 080100;1.1262;1.1264;1.1261;1.1262;417
20190102 080200;1.1261;1.1262;1.1259;1.1259;206
20190102 080300;1.1259;1.126;1.1257;1.1257;211
20190102 080400;1.1257;1.1258;1.1256;1.1257;363
20190102 080500;1.1257;1.1258;1.1256;1.1257;158
20190102 080600;1.1256;1.1257;1.1255;1.1256;105
20190102 080700;1.1255;1.1256;1.1251;1.1251;224
20190102 080800;1.1251;1.1251;1.125;1.1251;199
20190102 080900;1.1251;1.1251;1.1249;1.1249;187
20190102 081000;1.1249;1.1252;1.1249;1.1252;214
20190102 081100;1.1252;1.1252;1.1249;1.1249;230
20190102 081200;1.125;1.125;1.1248;1.125;206
20190102 081300;1.125;1.125;1.1246;1.1246;263
20190102 081400;1.1246;1.1246;1.1246;1.1246;100
20190102 081500;1.1246;1.1251;1.1246;1.1251;380
20190102 081600;1.1251;1.1251;1.125;1.1251;192
20190102 081700;1.1251;1.1251;1.1249;1.1249;311
20190102 081800;1.1249;1.125;1.1249;1.125;323
20190102 081900;1.1249;1.125;1.1249;1.125;232
20190102 082000;1.125;1.1251;1.1249;1.125;249
20190102 082100;1.125;1.1251;1.1247;1.1251;384
20190102 082200;1.1251;1.1254;1.125;1.1252;243
20190102 082300;1.1252;1.1253;1.1252;1.1252;130
20190102 082400;1.1252;1.1253;1.125;1.125;136
20190102 082500;1.125;1.1252;1.125;1.1251;171
20190102 082600;1.1251;1.1251;1.125;1.125;163
20190102 082700;1.1251;1.1251;1.125;1.1251;159
20190102 082800;1.1251;1.1251;1.125;1.1251;197
20190102 082900;1.125;1.125;1.1248;1.1249;212
20190102 083000;1.1249;1.125;1.1248;1.1249;168
20190102 083100;1.1249;1.1249;1.1241;1.1244;603
20190102 083200;1.1244;1.1247;1.1243;1.1244;467
20190102 083300;1.1244;1.1244;1.1238;1.1241;606
20190102 083400;1.1241;1.1241;1.1236;1.1237;401
20190102 083500;1.1237;1.1239;1.1237;1.1238;384
20190102 083600;1.1237;1.124;1.1236;1.124;246
20190102 083700;1.1239;1.1239;1.1236;1.1237;250
20190102 083800;1.1237;1.124;1.1236;1.1239;282
20190102 083900;1.1239;1.124;1.1238;1.1239;236
20190102 084000;1.1239;1.124;1.1238;1.1239;240
20190102 084100;1.1239;1.1243;1.1237;1.1243;297
20190102 084200;1.1244;1.1244;1.124;1.124;240
20190102 084300;1.124;1.124;1.1236;1.1237;265
20190102 084400;1.1236;1.1239;1.1236;1.1237;322
20190102 084500;1.1237;1.1239;1.1236;1.1237;475
20190102 084600;1.1237;1.1238;1.1236;1.1236;300
20190102 084700;1.1236;1.1236;1.1235;1.1236;135
20190102 084800;1.1236;1.1238;1.1236;1.1237;214
